,description,location,retweetcount,text,date,hashtags
0,"FACEBOOK GAMING CONTENT CREATOR https://t.co/s8wxcaEuTA 
Videographer | Photographer 
🎮🎥📸 🇸🇽",St. Maarten -Tallahassee,52346,"Depression isn’t always looking and feeling sad. Sometimes it’s lack of motivation, excessive sleeping, bad eating habits, unexplainable anger/easily irritated, low self-esteem or no strive to do anything you normally do.",2022-04-30 16:41:30+00:00,[]
1,"🌿〞𝑰 𝒘𝒊𝒍𝒍 𝒂𝒍𝒘𝒂𝒚𝒔 𝒘𝒂𝒍𝒌 𝒃𝒆𝒔𝒊𝒅𝒆 𝒚𝒐𝒖.〝🌿

Lit (N)SFW(NO LEWD) muse // Selective
Muse is 24 // Persephone(Mun) is 19
Both They/Them",PFP by Ginjaninjaowo on Amino,2,"""Hehehe now that's some power level I see!... Not physically but mentally. Your depression, anxiety and all that other stuff is strong, but you're stronger by just standing here today! You deserve a huge feast for that, come on, I'm sure Frieza will spare some of his best food.!"" https://t.co/6UMgYHiUoP",2022-04-30 16:41:31+00:00,[]
2,read books,India,1,"How To Stimulate Your Vagus Nerve for Better Mental Health https://t.co/YAXorZLODK

Science shows that your #vagusnerve is important to your mental and physical #health. Here's how and why to tone and stimulate it.

#brain #mentalhealth #depression #gut #GBA #HPA #SaturdayVibes https://t.co/PMpmlop6Ng",2022-04-30 16:41:33+00:00,['vagusnerve']
3,| “We fight because that’s what we believe in.” | Poet • Sociologist • Sports Fan • Washed Athlete #804,,168,depression as a red flag lmao https://t.co/xc7EYCNtlo,2022-04-30 16:41:33+00:00,[]
4,Visit https://t.co/iitjMnzcYI to meditate easily by just listening to mp3 audios. Its free & online. https://t.co/Zjvrf0CUrj,,0,"☏ Houston County Board of Education says mental wellness summit to address anxiety, depression #News https://t.co/L0TiVWyDEo https://t.co/oxpdHbVvxd",2022-04-30 16:41:33+00:00,['News']
5,"Proud AFT-IFT Union member, tweeting about law, libraries, policy, space, neurodivergence, autism, queer culture, & more. All views my own. I'm not your lawyer.",Land Stolen from Native People,489,"@elonmusk @pmarca Hey Elon, I'm a suicidologist, psychiatrist, and and psychopharmacologist. I have expertise in every aspect of this tweet. You are absolutely off base here and your uninformed opinions here are against the evidence.

Demonstrate the ability to learn.

https://t.co/QnRIcjEUgk",2022-04-30 16:41:39+00:00,[]
6,"Emancipate yourself from mental slavery, none but ourselves can free our minds. ROOTING FOR EVERYBODY BLACK!","Philadelphia, PA",0,Instagram is basically just a subscription to depression and fake shit,2022-04-30 16:41:42+00:00,[]
7,"Aggie, SEC Homer, and @SickosCommittee Member. All of my opinions are shitposts.","Texas, USA",0,"The Four Seasons

Ibiza (Summer)
Football (Fall)
Holidays/Not having to try at work (Winter)
Depression (Spring)",2022-04-30 16:41:43+00:00,[]
8,hi i’m super exhausted! ♉️ ♌️ ♌️ they/she,NC,40,"Wellbutrin is non-addictive, was very helpful for treating both my ADHD and depression, and I struggle a lot now that breastfeeding means I can't take it (or Adderall).

It's hard to overstate the harm that stigmatization of meds does to those of us with ADHD.",2022-04-30 16:41:46+00:00,[]
9,M.I.L.F (Man I Love Fishing),she/her,3544,"Acid &amp; shrooms recently brought me out of the worst depression of my life. I feel like my brain switched channels and I’m curious again, I’m reading again, I’m leaving my house everyday. The world feels beautiful again finally &amp; I fucking missed it",2022-04-30 16:41:48+00:00,[]
