,description,location,retweetcount,text,date,hashtags
0,Conducting a UK-based research project around partners of women with perinatal mental health difficulties and their lived experiences.,,4,"Dads, Traumatic Births and PTSD. 
As part of the @PMHPUK UK Maternal Mental Health Awareness Week,  we are delighted to be working with @iamElliottRae from @MFFonline_ for this important session on Dads, Traumatic Births and PTSD, on 7th May at 7pm.
#thepowerofconnection https://t.co/4w4p6seh0Q",2022-04-30 15:22:53+00:00,[]
1,✨i was feeling epic✨,where the money at,0,"how crazy is it that i see all my friends worth, they are the most beautiful, kind hearted humans i know. but i’ll never see my own. PTSD from past relationships is such a real thing.",2022-04-30 15:23:02+00:00,[]
2,,in between life and death,0,2nd session with my new therapist: yeah hun that's ptsd,2022-04-30 15:23:20+00:00,[]
3,"Sports:
#NYR
#LetsGoOilers
#NYG
#NYY #RepBX
#FSU

Alum:
UNCG.
The Hall.
GU.
FSU.

M.A. Diplomacy.
M.S. Info Tech.
M.B. Sports Mgmt.

Juris M.  Legal Risk Mgmt.",OLD Harlem/South Charlotte,1,"Watching #AtlantaFX from the other night...

Without even getting into the hilarity that will ensue, I just had a PTSD attack from just seeing the rat race again in NYC on screen. Especially down in ""FiDi"" from two separate stints of working down there.

That's not living. Sorry.",2022-04-30 15:23:25+00:00,['AtlantaFX']
4,"I'm not a guy.
Architecture is giving me headache. I write content and copy. Transitioning into UX writing. I read a lot. AIESECer💙.
Cowrywise Ambassador.",,0,"@zussoo I try not to because it gives me ""PTSD""",2022-04-30 15:23:25+00:00,[]
5,"Haters gonna hate, potaters gonna potate. Not a dude. Views expressed are my own, may not be endorsed by all potatoes. FOSTER KITTEN insta linked below. 👇",back of the crisper drawer ,0,"@libradunn This is true. I really hate when I'm battling a depressive episode or am PTSD sx heavy, and there is always someone in my life who tries to drag me somewhere bc it will make me ""feel better"" to do something.

No man, I need to just survive in my own safe world for a few days.",2022-04-30 15:23:50+00:00,[]
6,"🇨🇦 Canadian / International politics, national security & geopolitics/history",Ontario,13,"#Ottawa Police displaying C8 assault rifles at a protest is an escalation, not a de-escalation.  Doing it at an event that is made up of Veterans, some who may suffer from PTSD is just stupid and unnecessary.  Shameful conduct that will bring the force into disrepute.",2022-04-30 15:24:05+00:00,['Ottawa']
7,Stan is a published author whose mental health advice has been featured on TV and on the radio.  Read Stan's free advice at his blog at https://t.co/Doha7t6mv2,"Pennsylvania, USA",0,"Get anxiety advice at https://t.co/lXxnMfLxMt

#mentalhealthsupport
#MentalIllness
#mentalwellness 
#mindfulness
#momlife
#moms
#mothers 
#namisouthernaz
#NoMoreStigma
#NotAlone
#OCD
#overthinking
#parent
#parenting
#parenthood 
#patience 
#PositiveVibes 
#positivity 
#PTSD https://t.co/YpL3Zdvf8J",2022-04-30 15:24:06+00:00,"['mentalhealthsupport', 'MentalIllness', 'mentalwellness', 'mindfulness', 'momlife', 'moms', 'mothers', 'namisouthernaz', 'NoMoreStigma', 'NotAlone', 'OCD', 'overthinking', 'parent', 'parenting', 'parenthood', 'patience', 'PositiveVibes', 'positivity', 'PTSD']"
8,Senior Pastor of Restored to Life Church | God-given mandate to prepare the Bride for Jesus & to equip the Saints | US Army vet | Host of Restoring Your Voice,"Corpus Christi, TX",0,@trinitarianrick @ScottAniol God can absolutely heal. He set me free from 15 years of combat related PTSD. I also agree that using medication short term is ok. God can still use us either way.,2022-04-30 15:24:17+00:00,[]
9,"...before he came down here, it never snowed. And afterwards, it did. I don't think it would be snowing now if he weren't still up there...","Wien, Österreich",256,"Very informative tiktok for those asking why Amber Heard had to sit for a mental evaluation but Johnny Depp didn’t. 

It’s because Heard claimed PTSD from the relationship and therefore put her mental health at issue. 

She opened that door. 

#DeppHeardTrial https://t.co/QKuHF9Xwr4",2022-04-30 15:24:41+00:00,[]
